NumberOfNodes;Fanout2;Fanout4;Fanout8;Fanout16
1000;0341;0238;0239;191
2000;0923;0537;0455;356
3000;1189;0937;0785;595
4000;1395;1405;1138;919
5000;1898;1802;1296;1020
6000;2510;1943;1334;1165
7000;3156;2222;1619;1473
8000;3732;2262;1942;1698
9000;4043;2673;2096;1893
10000;4230;2705;2234;2148
