NumberOfNodes;Fanout2;Fanout4;Fanout8;Fanout16
1000;195;85;69;030
2000;679;239;195;030
3000;709;489;319;029
4000;715;740;443;029
5000;1161;990;530;064
6000;1661;1107;530;126
7000;2163;1107;530;188
8000;2663;1107;530;250
9000;2762;1107;533;315
10000;2762;1108;533;377
